mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,UUID,event_timestamp
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,daf38531-8fa9-4166-9f5f-4bdfab00741e,2022-04-20 10:13:34.875329
15,8,350,165,3693,11.5,70,1,buick skylark 320,0fec288b-984e-499c-b63c-e47736527bb0,2022-04-20 10:13:34.875357
18,8,318,150,3436,11,70,1,plymouth satellite,8da91644-04c8-4026-be9b-3a9e08a30f3a,2022-04-20 10:13:34.875368
16,8,304,150,3433,12,70,1,amc rebel sst,2bca32b1-0b2c-4ea7-bfb6-30d2629a6b7b,2022-04-20 10:13:34.875378
17,8,302,140,3449,10.5,70,1,ford torino,9d8820b9-e632-4436-88f5-2250f8f30930,2022-04-20 10:13:34.875386
15,8,429,198,4341,10,70,1,ford galaxie 500,e2ef9c07-744c-45b6-9460-b512335c1f66,2022-04-20 10:13:34.875395
14,8,454,220,4354,9,70,1,chevrolet impala,e50d027b-d47c-42f2-a72b-840fa7a504c4,2022-04-20 10:13:34.875403
14,8,440,215,4312,8.5,70,1,plymouth fury iii,e0af7012-8790-4e1a-bf73-54d486bb7a24,2022-04-20 10:13:34.875411
14,8,455,225,4425,10,70,1,pontiac catalina,50336d48-9cd4-41cc-a47c-ab53101400ea,2022-04-20 10:13:34.875420
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,63868c04-60dd-46fa-8d7f-8334ac67f999,2022-04-20 10:13:34.875428
15,8,383,170,3563,10,70,1,dodge challenger se,e6d879b0-210a-4c1d-afcc-a6343ff94b35,2022-04-20 10:13:34.875436
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,18e443e4-1925-4a05-946a-4a15331bf523,2022-04-20 10:13:34.875444
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,877c8c29-3d5b-44ef-81e1-a2757207fb17,2022-04-20 10:13:34.875453
14,8,455,225,3086,10,70,1,buick estate wagon (sw),9c517890-973f-4aed-8a0b-2d9e318efcee,2022-04-20 10:13:34.875461
24,4,113,95,2372,15,70,3,toyota corona mark ii,3b0374c2-d720-42d0-901d-5643f98afde8,2022-04-20 10:13:34.875469
22,6,198,95,2833,15.5,70,1,plymouth duster,a4ab278c-112a-4433-aff7-5c1b027504f6,2022-04-20 10:13:34.875478
18,6,199,97,2774,15.5,70,1,amc hornet,d17bf2ca-bb05-4e13-9ea0-fcbb7c998cd9,2022-04-20 10:13:34.875498
21,6,200,85,2587,16,70,1,ford maverick,b349f142-fcf3-400f-b8a5-5dc3dc8a464e,2022-04-20 10:13:34.875506
27,4,97,88,2130,14.5,70,3,datsun pl510,eed508cb-7fd4-40d5-a06a-5dd7c4c51064,2022-04-20 10:13:34.875514
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,6466c714-f1b7-4be4-bd73-618dbfe82a89,2022-04-20 10:13:34.875522
25,4,110,87,2672,17.5,70,2,peugeot 504,6b6df69f-68a6-4515-8369-66f2a46b5d47,2022-04-20 10:13:34.875530
24,4,107,90,2430,14.5,70,2,audi 100 ls,4b43e9e8-3b46-4766-a5d9-5825ce77b4d5,2022-04-20 10:13:34.875538
25,4,104,95,2375,17.5,70,2,saab 99e,c362033a-e9b3-4659-ae50-6a9aa4c2aedc,2022-04-20 10:13:34.875546
26,4,121,113,2234,12.5,70,2,bmw 2002,42a47c3c-6ff0-46a1-9209-cd824b399b59,2022-04-20 10:13:34.875554
21,6,199,90,2648,15,70,1,amc gremlin,e57a0e3e-8335-41d8-878a-72cac70182f9,2022-04-20 10:13:34.875562
10,8,360,215,4615,14,70,1,ford f250,3face835-9b0c-4949-8e1f-3ce74f092312,2022-04-20 10:13:34.875570
10,8,307,200,4376,15,70,1,chevy c20,22f7c268-480e-4e86-b0a6-907f0829f6c9,2022-04-20 10:13:34.875586
11,8,318,210,4382,13.5,70,1,dodge d200,08bf23ac-311f-4b98-a210-17fd72c325df,2022-04-20 10:13:34.875595
9,8,304,193,4732,18.5,70,1,hi 1200d,10e37128-434b-49a4-967c-ab1693ed9b15,2022-04-20 10:13:34.875603
27,4,97,88,2130,14.5,71,3,datsun pl510,b3a76417-5fb6-4dfb-bc0e-35e7e5a51c49,2022-04-20 10:13:34.875611
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,39037f8d-961f-404b-818c-d0a318cd70e5,2022-04-20 10:13:34.875629
25,4,113,95,2228,14,71,3,toyota corona,e690d57e-e3ea-4565-b016-77fef6df9dde,2022-04-20 10:13:34.875637
19,6,232,100,2634,13,71,1,amc gremlin,7b41dfc2-bed0-4a13-82fd-be2a92bc9193,2022-04-20 10:13:34.875645
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,c54dbee8-3041-4565-8929-b8b1484205e0,2022-04-20 10:13:34.875653
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,99b3a6e2-ffb6-4e09-82d6-775ab70a4d3a,2022-04-20 10:13:34.875662
19,6,250,88,3302,15.5,71,1,ford torino 500,b4d6f3ef-f145-4f05-998b-a76086802925,2022-04-20 10:13:34.875670
18,6,232,100,3288,15.5,71,1,amc matador,d7775d87-f0a8-4f7d-8cb3-1369563c0ca3,2022-04-20 10:13:34.875685
14,8,350,165,4209,12,71,1,chevrolet impala,24037be2-691a-4f7c-98d8-1daf356bd588,2022-04-20 10:13:34.875718
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,85f7fb80-f6ad-4146-a826-5fbd78d90389,2022-04-20 10:13:34.875740
14,8,351,153,4154,13.5,71,1,ford galaxie 500,641a4067-7bc3-4187-9d37-b81ed68bef8a,2022-04-20 10:13:34.875750
14,8,318,150,4096,13,71,1,plymouth fury iii,fbfc22a1-8b10-4661-9ecf-c24166fc90c7,2022-04-20 10:13:34.875759
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),02741a5f-8817-4534-8ae8-9c0f380538e3,2022-04-20 10:13:34.875767
13,8,400,170,4746,12,71,1,ford country squire (sw),83206540-85c7-4e13-ab87-1576e623e778,2022-04-20 10:13:34.875776
13,8,400,175,5140,12,71,1,pontiac safari (sw),272b7661-ec7b-476b-94d0-300a01f83fc4,2022-04-20 10:13:34.875784
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),6d9d6514-a8a0-45fa-842a-ade9037c4957,2022-04-20 10:13:34.875802
22,4,140,72,2408,19,71,1,chevrolet vega (sw),a385742b-a5fb-473a-bca1-d86da8ee1c77,2022-04-20 10:13:34.875810
19,6,250,100,3282,15,71,1,pontiac firebird,dd3f2e5a-4d7a-467f-b4ce-d42a5b60b5c8,2022-04-20 10:13:34.875818
18,6,250,88,3139,14.5,71,1,ford mustang,668a1169-8279-4205-9b6f-d0048017670a,2022-04-20 10:13:34.875826
23,4,122,86,2220,14,71,1,mercury capri 2000,725b2c19-5c83-4300-84a7-13d0179fc297,2022-04-20 10:13:34.875834
28,4,116,90,2123,14,71,2,opel 1900,1ff69778-c579-4af2-94a3-fa05f50a7704,2022-04-20 10:13:34.875842
30,4,79,70,2074,19.5,71,2,peugeot 304,1155e020-4ca2-424c-952b-6f15b06cc691,2022-04-20 10:13:34.875859
30,4,88,76,2065,14.5,71,2,fiat 124b,d4542378-7725-41e8-a764-beb4d56c636c,2022-04-20 10:13:34.875876
31,4,71,65,1773,19,71,3,toyota corolla 1200,8c834a5f-1fc4-4fed-a371-98b6574ca49b,2022-04-20 10:13:34.875884
35,4,72,69,1613,18,71,3,datsun 1200,273ad2a0-53fd-4a90-a745-218428837dfc,2022-04-20 10:13:34.875892
27,4,97,60,1834,19,71,2,volkswagen model 111,5e346f49-f4cc-4de0-a7b0-77d12a47ab81,2022-04-20 10:13:34.875912
26,4,91,70,1955,20.5,71,1,plymouth cricket,9e8f8280-787b-40b3-b846-98a0dad223d6,2022-04-20 10:13:34.875920
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,46770c57-0dfc-4d9d-b3be-3b25a1f355cf,2022-04-20 10:13:34.875928
25,4,97.5,80,2126,17,72,1,dodge colt hardtop,5277d287-0294-4b38-9874-c347e57e695d,2022-04-20 10:13:34.875936
23,4,97,54,2254,23.5,72,2,volkswagen type 3,cec5f751-ab42-417c-9dfc-1c9d0eb806fa,2022-04-20 10:13:34.875944
20,4,140,90,2408,19.5,72,1,chevrolet vega,1ddfa15b-b41b-4ac0-a9b8-05a60e59b90d,2022-04-20 10:13:34.875961
21,4,122,86,2226,16.5,72,1,ford pinto runabout,88499f67-e2e9-4706-bfba-540a2e6b9420,2022-04-20 10:13:34.875969
13,8,350,165,4274,12,72,1,chevrolet impala,ffa0d9aa-defe-4e65-a3f9-95f59889b1fc,2022-04-20 10:13:34.875977
14,8,400,175,4385,12,72,1,pontiac catalina,b1d311a7-1d31-41e8-9226-ad392687ceba,2022-04-20 10:13:34.875985
15,8,318,150,4135,13.5,72,1,plymouth fury iii,89d725ca-a5ad-46b8-8ff6-0ca777018ddf,2022-04-20 10:13:34.875993
14,8,351,153,4129,13,72,1,ford galaxie 500,fd351317-243c-4bbb-8090-517cb02a6a78,2022-04-20 10:13:34.876001
17,8,304,150,3672,11.5,72,1,amc ambassador sst,36978f87-0710-4ab8-a8c9-8191dbd39878,2022-04-20 10:13:34.876009
11,8,429,208,4633,11,72,1,mercury marquis,eeca39d2-1889-4d48-a15f-791713072bd1,2022-04-20 10:13:34.876017
13,8,350,155,4502,13.5,72,1,buick lesabre custom,b0ece533-8ed7-47b1-b2b9-5c09dc246958,2022-04-20 10:13:34.876025
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,25ea0610-cf35-4be6-a0f6-e3d5237ed051,2022-04-20 10:13:34.876034
13,8,400,190,4422,12.5,72,1,chrysler newport royal,4dca74ef-0f62-473d-91bc-586b119921aa,2022-04-20 10:13:34.876042
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,e583f03d-ac0f-46f6-9c9f-097dde21bd1b,2022-04-20 10:13:34.876051
15,8,304,150,3892,12.5,72,1,amc matador (sw),2cee1c3e-64d0-43b0-9ac0-b21ed5f7ae14,2022-04-20 10:13:34.876059
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),5c9ac501-6f8a-4319-8676-e5a472ca762e,2022-04-20 10:13:34.876067
13,8,302,140,4294,16,72,1,ford gran torino (sw),cc1733f4-a1f0-4522-ae09-5bbf09a12d2c,2022-04-20 10:13:34.876075
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),9d53cfba-f169-45ad-b2b3-bb62c07d9982,2022-04-20 10:13:34.876084
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),ca9080ad-36d5-4876-966d-4854e908be4c,2022-04-20 10:13:34.876116
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),76ce0d44-6f59-4c90-b7fb-c417f5579bc0,2022-04-20 10:13:34.876126
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),94594d64-5491-4951-924f-c58ee799d0d2,2022-04-20 10:13:34.876134
26,4,96,69,2189,18,72,2,renault 12 (sw),f80fd01c-84d9-4f08-94da-4fa285df8582,2022-04-20 10:13:34.876142
22,4,122,86,2395,16,72,1,ford pinto (sw),0a551c69-4696-46b7-8fa3-932caf68ecb6,2022-04-20 10:13:34.876151
28,4,97,92,2288,17,72,3,datsun 510 (sw),fdc54e78-ca42-4449-84a7-34cd701aeec7,2022-04-20 10:13:34.876159
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),eb0f9ed5-e782-4f0b-b224-d264b2da2fd3,2022-04-20 10:13:34.876168
28,4,98,80,2164,15,72,1,dodge colt (sw),951bd78d-d57e-48c6-a892-2ab1e6ec0dc7,2022-04-20 10:13:34.876176
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),c0dd64ee-a283-4a83-a340-5e059a60facc,2022-04-20 10:13:34.876184
13,8,350,175,4100,13,73,1,buick century 350,032be822-3079-49bb-82b6-3dc07bde5253,2022-04-20 10:13:34.876192
14,8,304,150,3672,11.5,73,1,amc matador,4ceb0945-f480-4259-9bbe-fc9e5bef87cd,2022-04-20 10:13:34.876200
13,8,350,145,3988,13,73,1,chevrolet malibu,37293ee6-e351-4b50-91c6-6c74bf8982a6,2022-04-20 10:13:34.876208
14,8,302,137,4042,14.5,73,1,ford gran torino,6df5f00b-304c-4566-9899-1f24c3684b91,2022-04-20 10:13:34.876216
15,8,318,150,3777,12.5,73,1,dodge coronet custom,376eab04-27be-4a6c-b6e6-fd21f42dda56,2022-04-20 10:13:34.876224
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,267dab2b-275a-4c59-b32f-bfb4d514873c,2022-04-20 10:13:34.876244
13,8,400,150,4464,12,73,1,chevrolet caprice classic,abb5c1fe-47e8-405f-ad54-a5a59330260c,2022-04-20 10:13:34.876252
13,8,351,158,4363,13,73,1,ford ltd,a7387730-b991-415f-a665-c56c5d8b7213,2022-04-20 10:13:34.876260
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,71d37e04-5418-4c13-871b-c5eb8d2e658f,2022-04-20 10:13:34.876269
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,a1fc64a2-f62b-49f8-a0a8-cd143d14b88a,2022-04-20 10:13:34.876277
12,8,455,225,4951,11,73,1,buick electra 225 custom,138bf801-8b2c-40fa-a6e4-322d07e042a4,2022-04-20 10:13:34.876285
13,8,360,175,3821,11,73,1,amc ambassador brougham,a9866c3a-e921-4a59-af80-506c3e4b50e8,2022-04-20 10:13:34.876293
18,6,225,105,3121,16.5,73,1,plymouth valiant,9c5e2e7b-9be4-4fb2-a7ea-e0913e86d6bb,2022-04-20 10:13:34.876302
16,6,250,100,3278,18,73,1,chevrolet nova custom,0e2fb5a3-1d76-4532-a782-f02ed4943212,2022-04-20 10:13:34.876310
18,6,232,100,2945,16,73,1,amc hornet,2651153d-b17d-4b6a-ad03-4a80df4fbec1,2022-04-20 10:13:34.876318
18,6,250,88,3021,16.5,73,1,ford maverick,8a8b983b-af8a-4acd-9604-7fe0f1f710e2,2022-04-20 10:13:34.876326
23,6,198,95,2904,16,73,1,plymouth duster,73bc061f-836a-4ad3-8c07-bb87971a44db,2022-04-20 10:13:34.876343
26,4,97,46,1950,21,73,2,volkswagen super beetle,2fd75fe0-9622-4481-a52f-f9f6d010365a,2022-04-20 10:13:34.876351
11,8,400,150,4997,14,73,1,chevrolet impala,6457afa9-9bef-4f27-a58a-9c0dab8fe1fd,2022-04-20 10:13:34.876359
12,8,400,167,4906,12.5,73,1,ford country,9451b3be-b8c9-4570-a8c0-fb0d12fa95d0,2022-04-20 10:13:34.876367
13,8,360,170,4654,13,73,1,plymouth custom suburb,40b2c722-b0a9-4e98-85d2-bb26397b52bb,2022-04-20 10:13:34.876375
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,6aff6a03-1971-48fb-a316-d0e8cd888dc9,2022-04-20 10:13:34.876383
18,6,232,100,2789,15,73,1,amc gremlin,87062f3f-8691-4cbe-9396-e3a361735772,2022-04-20 10:13:34.876391
20,4,97,88,2279,19,73,3,toyota carina,4863dd22-2c95-44aa-82cb-31ec8440d556,2022-04-20 10:13:34.876399
21,4,140,72,2401,19.5,73,1,chevrolet vega,57170b43-9418-433e-834b-41b038c82d38,2022-04-20 10:13:34.876413
22,4,108,94,2379,16.5,73,3,datsun 610,e0910173-3511-42bc-b68c-0f709ee116db,2022-04-20 10:13:34.876421
18,3,70,90,2124,13.5,73,3,maxda rx3,a6658d7d-42b3-45e0-8b65-cbdb4d967107,2022-04-20 10:13:34.876429
19,4,122,85,2310,18.5,73,1,ford pinto,3e62374c-45ee-4007-9e36-b1ff97fe1728,2022-04-20 10:13:34.876449
21,6,155,107,2472,14,73,1,mercury capri v6,021c3137-bfe2-489c-a2cd-2bb6d9e6266b,2022-04-20 10:13:34.876468
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,60d16071-00dc-4334-9687-354a731751d3,2022-04-20 10:13:34.876476
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,9c84f1c9-015e-4ccf-9909-9e8a320bed31,2022-04-20 10:13:34.876484
16,8,400,230,4278,9.5,73,1,pontiac grand prix,c73a0e4b-4390-40d0-91b6-85b58853a4a0,2022-04-20 10:13:34.876492
29,4,68,49,1867,19.5,73,2,fiat 128,adb5f8f0-88ca-4558-9759-c9ad991b67c4,2022-04-20 10:13:34.876500
24,4,116,75,2158,15.5,73,2,opel manta,d17f0d25-a534-4ec6-a17a-887f88294743,2022-04-20 10:13:34.876508
20,4,114,91,2582,14,73,2,audi 100ls,e864c066-941f-4ac7-9047-f1b5bea850f2,2022-04-20 10:13:34.876516
19,4,121,112,2868,15.5,73,2,volvo 144ea,a73a6691-3077-4d22-97ce-a5c4eb4b84e9,2022-04-20 10:13:34.876524
15,8,318,150,3399,11,73,1,dodge dart custom,cd48b75a-705c-47c1-9bde-7bc47b609122,2022-04-20 10:13:34.876545
24,4,121,110,2660,14,73,2,saab 99le,a622d341-a4b0-4643-92b4-571ba298a66f,2022-04-20 10:13:34.876560
20,6,156,122,2807,13.5,73,3,toyota mark ii,355c63af-eba3-41ce-a0c9-1fd0ce60d768,2022-04-20 10:13:34.876577
11,8,350,180,3664,11,73,1,oldsmobile omega,c7e6004b-329a-4e68-9674-8223e367f9b0,2022-04-20 10:13:34.876586
20,6,198,95,3102,16.5,74,1,plymouth duster,d046792e-0c73-40a4-894c-dfa5c19c580c,2022-04-20 10:13:34.876594
19,6,232,100,2901,16,74,1,amc hornet,6957ec03-c4c3-4952-931e-484ce64869b2,2022-04-20 10:13:34.876602
15,6,250,100,3336,17,74,1,chevrolet nova,63063d40-37f8-421b-8e6b-51d532883e33,2022-04-20 10:13:34.876610
31,4,79,67,1950,19,74,3,datsun b210,48113047-d27f-48f1-a1a3-bac2e8c99750,2022-04-20 10:13:34.876618
26,4,122,80,2451,16.5,74,1,ford pinto,17365212-394e-474a-82ca-62abc374e6d2,2022-04-20 10:13:34.876626
32,4,71,65,1836,21,74,3,toyota corolla 1200,e2a5da11-59e6-46b7-985d-fb621ec50c6f,2022-04-20 10:13:34.876634
